feedback_id,order_id,seller_id,ratings,feedback_date
F1,Or649,S854,5,2022-12-02 13:26:55
F2,Or9240,S264,4,2021-03-06 00:20:57
F3,Or7299,S773,3,2021-09-09 19:37:26
F4,Or7835,S690,1,2020-12-12 23:11:19
F5,Or5591,S127,2,2020-08-06 22:36:21
F6,Or5568,S543,5,2023-11-23 00:34:56
F7,Or8103,S313,1,2020-06-26 01:23:55
F8,Or4272,S315,1,2020-12-11 15:42:39
F9,Or7075,S231,3,2023-04-11 05:28:52
F10,Or8372,S208,2,2020-10-07 06:53:47
F11,Or868,S83,4,2021-03-22 04:18:07
F12,Or8901,S713,1,2024-02-27 14:44:23
F13,Or1324,S761,1,2020-12-02 08:35:48
F14,Or5963,S435,1,2020-08-31 06:31:15
F15,Or4510,S498,1,2024-09-20 14:34:58
F16,Or1513,S365,3,2021-01-22 02:21:23
F17,Or7769,S273,1,2024-08-19 13:05:37
F18,Or8651,S596,4,2022-05-30 01:38:12
F19,Or8585,S640,3,2023-01-25 17:19:08
F20,Or7371,S720,2,2020-10-19 17:35:34
F21,Or4610,S716,5,2021-12-15 16:15:24
F22,Or1894,S223,2,2021-09-18 14:55:45
F23,Or8549,S258,5,2023-12-07 12:06:52
F24,Or9217,S741,5,2021-08-05 13:31:16
F25,Or2411,S544,2,2023-11-03 13:27:11
F26,Or419,S875,2,2024-08-04 09:48:09
F27,Or6042,S141,1,2023-11-23 21:01:50
F28,Or4051,S969,1,2021-04-11 05:46:41
F29,Or4766,S607,1,2023-10-19 01:58:21
F30,Or771,S300,2,2022-10-09 20:55:01
F31,Or8321,S935,5,2023-07-08 07:56:51
F32,Or4599,S966,3,2025-06-09 08:23:55
F33,Or6192,S711,4,2023-08-08 21:20:05
F34,Or2958,S822,2,2022-07-02 11:14:46
F35,Or5258,S82,5,2024-10-09 20:39:31
F36,Or1717,S228,4,2021-06-27 02:27:53
F37,Or4482,S82,5,2020-12-12 18:18:03
F38,Or7172,S411,5,2023-01-31 00:13:03
F39,Or2998,S507,4,2021-09-10 18:31:47
F40,Or291,S468,5,2025-01-08 12:06:13
F41,Or6736,S510,4,2024-02-04 00:02:24
F42,Or6913,S836,2,2021-01-14 20:59:10
F43,Or4520,S317,2,2023-03-02 23:32:55
F44,Or952,S758,2,2024-01-30 21:47:28
F45,Or4862,S909,2,2024-02-13 06:06:10
F46,Or7394,S280,3,2024-02-03 19:55:24
F47,Or7135,S196,1,2023-07-29 23:43:16
F48,Or4084,S82,4,2024-01-26 17:30:14
F49,Or1849,S13,4,2023-09-18 17:13:13
F50,Or6950,S790,2,2021-05-28 23:53:32
F51,Or6391,S368,3,2023-12-07 12:35:55
F52,Or737,S663,2,2025-02-10 08:28:33
F53,Or8667,S312,2,2022-02-27 23:08:56
F54,Or9258,S791,3,2024-08-29 23:10:12
F55,Or135,S558,4,2024-01-13 03:36:30
F56,Or269,S558,3,2024-04-21 18:10:17
F57,Or8445,S395,4,2024-08-09 19:24:42
F58,Or651,S832,5,2021-04-23 18:28:29
F59,Or1710,S62,5,2024-12-05 00:39:52
F60,Or3806,S28,1,2023-06-20 17:19:56
F61,Or8790,S77,5,2024-10-28 05:37:21
F62,Or2448,S228,2,2021-01-30 17:17:31
F63,Or8457,S946,5,2022-05-28 19:46:23
F64,Or9123,S945,1,2023-08-29 18:11:43
F65,Or2348,S783,2,2022-12-14 04:10:38
F66,Or7144,S963,3,2024-11-25 06:12:05
F67,Or8992,S452,5,2022-09-27 19:58:13
F68,Or2756,S79,1,2023-08-17 12:31:58
F69,Or1479,S554,2,2022-09-08 14:22:59
F70,Or4222,S580,2,2022-06-14 11:48:12
F71,Or5636,S630,1,2022-06-05 05:35:07
F72,Or4693,S871,1,2021-09-06 13:24:25
F73,Or5674,S673,3,2023-08-20 04:05:18
F74,Or6858,S102,5,2022-04-22 18:42:25
F75,Or7004,S14,3,2022-06-14 16:34:07
F76,Or4413,S749,4,2024-07-31 17:12:48
F77,Or4772,S61,5,2022-04-22 18:46:54
F78,Or8761,S815,3,2022-09-28 04:53:20
F79,Or7992,S349,1,2023-03-29 08:11:13
F80,Or2465,S480,3,2020-07-02 11:51:06
F81,Or1068,S857,2,2024-01-22 16:14:47
F82,Or1080,S968,5,2022-09-14 04:18:24
F83,Or8025,S3,3,2025-02-21 07:45:54
F84,Or9512,S358,1,2022-04-09 20:57:00
F85,Or8205,S167,4,2021-08-03 07:49:12
F86,Or9346,S633,3,2025-04-18 13:52:28
F87,Or7301,S647,3,2023-01-08 05:54:04
F88,Or8834,S237,5,2020-09-08 22:01:01
F89,Or6389,S231,5,2022-03-21 02:12:37
F90,Or1684,S600,1,2024-11-26 12:23:17
F91,Or1990,S509,3,2022-10-27 22:21:32
F92,Or8838,S452,5,2024-06-26 09:59:57
F93,Or1700,S608,3,2021-11-15 13:45:53
F94,Or8732,S438,1,2024-04-22 14:57:50
F95,Or6405,S699,2,2025-04-02 22:19:10
F96,Or3850,S632,2,2023-10-31 09:12:17
F97,Or7734,S546,5,2021-05-14 06:35:56
F98,Or4805,S353,2,2024-04-14 11:56:23
F99,Or3461,S862,1,2022-02-18 22:12:31
F100,Or3144,S713,1,2023-05-13 14:58:13
F101,Or7874,S790,4,2023-09-22 02:11:09
F102,Or555,S501,1,2021-03-14 22:29:40
F103,Or3484,S42,1,2023-07-26 20:05:45
F104,Or4123,S596,1,2022-12-07 10:48:53
F105,Or4903,S88,5,2022-03-10 09:58:05
F106,Or5210,S825,3,2020-07-22 21:05:15
F107,Or9091,S980,2,2022-07-06 17:47:38
F108,Or8080,S577,3,2023-12-26 01:47:12
F109,Or6189,S682,5,2023-04-02 05:23:56
F110,Or2803,S558,1,2023-06-01 17:57:56
F111,Or1119,S623,4,2025-02-11 12:12:10
F112,Or9916,S464,4,2022-07-26 11:12:53
F113,Or7789,S881,3,2021-08-24 03:21:14
F114,Or1390,S776,5,2023-01-04 11:05:53
F115,Or4788,S538,4,2020-08-10 04:15:10
F116,Or7628,S348,2,2022-12-14 18:50:28
F117,Or3458,S115,2,2023-08-06 10:27:11
F118,Or9936,S267,2,2021-08-03 07:02:33
F119,Or6620,S724,5,2024-12-12 06:10:31
F120,Or9498,S32,3,2023-12-21 21:59:55
F121,Or9007,S418,1,2025-02-22 19:48:54
F122,Or7455,S127,4,2021-04-09 04:33:28
F123,Or9656,S412,1,2023-05-11 07:40:31
F124,Or4879,S595,2,2021-08-16 20:53:00
F125,Or9769,S176,5,2023-10-13 15:50:42
F126,Or875,S861,2,2022-11-26 09:37:25
F127,Or8487,S74,2,2022-01-24 14:21:48
F128,Or1651,S232,4,2022-06-03 06:17:15
F129,Or3014,S635,2,2021-10-20 18:01:41
F130,Or956,S780,5,2024-04-09 00:23:03
F131,Or3578,S255,5,2025-06-09 00:06:22
F132,Or2657,S566,5,2024-05-24 06:49:17
F133,Or3120,S953,4,2021-10-04 22:24:05
F134,Or5929,S852,5,2020-07-17 05:41:55
F135,Or9080,S648,3,2022-11-05 21:29:11
F136,Or9549,S341,3,2021-04-03 09:02:35
F137,Or8108,S454,2,2024-03-12 06:00:56
F138,Or2513,S288,1,2023-11-26 13:29:23
F139,Or4184,S14,2,2023-08-13 16:09:34
F140,Or7550,S792,2,2021-08-10 02:11:04
F141,Or3398,S631,4,2020-12-18 22:17:32
F142,Or7711,S334,1,2023-09-27 09:52:25
F143,Or9656,S354,2,2022-11-11 21:33:40
F144,Or7735,S609,4,2021-10-08 08:17:24
F145,Or271,S633,2,2025-01-25 11:20:39
F146,Or1098,S759,5,2021-06-25 20:23:53
F147,Or1594,S527,1,2020-08-04 19:56:50
F148,Or5431,S453,2,2022-11-06 04:54:03
F149,Or2943,S615,5,2025-02-15 06:11:57
F150,Or4602,S635,3,2021-08-15 22:13:56
F151,Or1589,S17,2,2025-01-29 10:35:34
F152,Or9037,S244,1,2020-07-15 02:08:43
F153,Or4820,S653,2,2022-04-08 11:22:20
F154,Or2027,S418,4,2023-09-19 17:46:19
F155,Or8991,S419,3,2023-03-21 06:27:06
F156,Or2629,S247,1,2020-07-06 22:55:58
F157,Or7544,S7,3,2020-07-14 12:48:51
F158,Or5129,S76,4,2022-04-29 12:04:09
F159,Or1099,S222,4,2024-01-21 05:59:09
F160,Or2639,S298,4,2025-02-19 23:34:15
F161,Or1674,S799,4,2022-01-09 00:10:04
F162,Or4629,S360,1,2022-03-25 20:42:20
F163,Or9085,S40,2,2024-10-19 08:36:46
F164,Or1990,S160,4,2024-03-15 21:49:53
F165,Or2629,S319,2,2024-05-25 22:09:53
F166,Or877,S597,3,2024-10-23 13:53:48
F167,Or698,S561,5,2021-04-18 09:23:39
F168,Or4235,S968,1,2025-06-03 04:19:00
F169,Or3343,S679,5,2023-09-15 09:01:40
F170,Or6422,S182,4,2022-09-02 18:15:12
F171,Or7748,S910,4,2021-07-26 15:41:02
F172,Or6219,S949,5,2024-08-08 10:58:00
F173,Or5415,S623,1,2024-03-20 00:28:05
F174,Or3283,S219,4,2022-07-13 13:51:49
F175,Or8291,S405,5,2024-06-04 06:50:46
F176,Or5481,S751,1,2022-01-13 21:05:47
F177,Or6354,S706,1,2024-05-24 21:53:08
F178,Or4876,S767,2,2021-05-27 20:33:30
F179,Or867,S457,2,2021-01-05 14:27:40
F180,Or2814,S776,2,2023-12-10 20:45:11
F181,Or5050,S857,1,2023-03-25 04:29:09
F182,Or3085,S658,4,2024-11-13 21:30:44
F183,Or3723,S315,2,2021-11-08 11:44:40
F184,Or1686,S553,2,2021-09-15 03:49:15
F185,Or1891,S174,4,2024-04-14 05:28:18
F186,Or8934,S3,2,2021-03-02 00:41:22
F187,Or9591,S460,3,2025-02-24 21:19:56
F188,Or5246,S696,3,2023-11-17 03:03:29
F189,Or9836,S561,2,2021-01-22 05:10:29
F190,Or1004,S323,2,2021-02-13 11:41:58
F191,Or7789,S419,4,2022-10-07 01:23:16
F192,Or2064,S585,3,2021-02-02 19:11:48
F193,Or7149,S340,4,2022-01-20 04:25:50
F194,Or5878,S682,2,2024-01-01 10:01:36
F195,Or9558,S215,2,2022-08-12 00:18:58
F196,Or5629,S15,5,2022-05-14 23:45:33
F197,Or3734,S885,3,2023-11-07 19:51:48
F198,Or2119,S517,2,2025-05-30 07:43:46
F199,Or3120,S53,3,2022-03-11 20:25:42
F200,Or9176,S385,2,2024-02-17 01:26:17
F201,Or2600,S49,3,2021-04-03 16:21:21
F202,Or6530,S891,2,2024-01-18 03:54:18
F203,Or1336,S920,5,2022-01-19 00:14:04
F204,Or7321,S321,1,2023-11-12 13:53:48
F205,Or1188,S894,3,2021-11-23 01:34:45
F206,Or5586,S367,2,2025-02-24 13:51:10
F207,Or2761,S768,5,2024-05-06 16:31:09
F208,Or9145,S231,3,2022-11-24 01:53:11
F209,Or8372,S224,1,2021-08-30 05:59:07
F210,Or3960,S646,1,2023-09-17 07:56:47
F211,Or1649,S144,4,2024-12-05 10:39:15
F212,Or1241,S686,5,2024-11-12 07:27:08
F213,Or1335,S170,4,2021-05-04 18:24:58
F214,Or6522,S346,3,2022-05-27 18:25:34
F215,Or8397,S843,3,2021-07-17 02:11:27
F216,Or4713,S417,4,2025-03-12 20:57:29
F217,Or6231,S50,2,2022-08-12 18:25:16
F218,Or6164,S189,1,2024-07-06 04:30:46
F219,Or2765,S225,1,2020-11-29 19:30:58
F220,Or5381,S236,2,2022-05-01 08:57:27
F221,Or7469,S559,5,2023-11-20 14:29:06
F222,Or2987,S202,4,2025-01-15 22:32:19
F223,Or5774,S675,2,2020-07-03 20:34:20
F224,Or7749,S508,1,2021-09-23 22:37:33
F225,Or7605,S858,5,2024-11-21 03:07:05
F226,Or6994,S54,2,2020-09-18 12:04:59
F227,Or9105,S837,3,2022-03-19 15:15:46
F228,Or9588,S800,2,2023-12-01 09:35:44
F229,Or4322,S516,5,2021-06-05 03:05:11
F230,Or9384,S18,3,2021-07-01 16:47:49
F231,Or8503,S111,5,2021-10-12 13:47:55
F232,Or7088,S207,3,2022-10-13 04:16:04
F233,Or6065,S855,5,2023-09-12 10:48:59
F234,Or3650,S859,2,2021-01-18 20:38:08
F235,Or4425,S657,5,2022-09-29 21:30:42
F236,Or8641,S163,4,2021-01-16 02:13:19
F237,Or275,S436,3,2021-09-08 09:49:44
F238,Or5391,S181,1,2023-04-13 18:12:40
F239,Or8763,S676,3,2024-05-01 08:12:31
F240,Or6599,S545,2,2022-08-11 04:15:11
F241,Or7816,S852,4,2023-12-20 03:07:07
