inventory_id,product_id,seller_id,stock_level
Inv1,P7202,S21,41
Inv2,P8671,S507,46
Inv3,P8086,S524,67
Inv4,P9623,S842,77
Inv5,P8271,S937,10
Inv6,P5192,S294,25
Inv7,P1481,S764,53
Inv8,P1726,S68,58
Inv9,P9370,S384,51
Inv10,P6731,S31,73
Inv11,P4879,S264,3
Inv12,P3714,S935,14
Inv13,P4086,S853,25
Inv14,P8094,S918,63
Inv15,P6881,S573,26
Inv16,P1526,S624,91
Inv17,P8192,S315,93
Inv18,P9527,S234,20
Inv19,P3347,S631,32
Inv20,P9406,S333,84
Inv21,P4548,S823,86
Inv22,P3451,S217,19
Inv23,P3302,S437,30
Inv24,P7519,S264,85
Inv25,P3430,S490,23
Inv26,P3963,S787,92
Inv27,P1924,S415,82
Inv28,P7573,S296,88
Inv29,P3778,S281,98
Inv30,P5675,S491,28
Inv31,P5842,S619,17
Inv32,P6507,S114,61
Inv33,P9041,S529,10
Inv34,P9438,S765,81
Inv35,P1343,S358,24
Inv36,P2384,S986,57
Inv37,P5884,S782,77
Inv38,P8539,S485,52
Inv39,P6739,S689,31
Inv40,P1817,S27,44
Inv41,P3853,S345,63
Inv42,P2408,S955,51
Inv43,P2494,S397,85
Inv44,P5105,S771,61
Inv45,P1603,S464,17
Inv46,P3714,S521,38
Inv47,P5662,S534,0
Inv48,P6831,S376,71
Inv49,P4752,S723,21
Inv50,P6158,S818,100
Inv51,P6759,S16,66
Inv52,P6514,S350,90
Inv53,P7784,S627,36
Inv54,P7960,S819,97
Inv55,P4559,S573,9
Inv56,P1393,S1000,54
Inv57,P5362,S242,61
Inv58,P9001,S196,77
Inv59,P1428,S864,77
Inv60,P1797,S103,97
Inv61,P7639,S748,45
Inv62,P8753,S119,37
Inv63,P3862,S287,3
Inv64,P6506,S282,99
Inv65,P1943,S696,45
Inv66,P3833,S468,5
Inv67,P6030,S877,63
Inv68,P1256,S466,93
Inv69,P1002,S165,69
Inv70,P5063,S640,82
Inv71,P2356,S96,66
Inv72,P2492,S265,88
Inv73,P9350,S11,68
Inv74,P5431,S148,0
Inv75,P1148,S188,87
Inv76,P6804,S684,47
Inv77,P9840,S426,5
Inv78,P3135,S868,20
Inv79,P3480,S797,55
Inv80,P5486,S399,76
Inv81,P4249,S58,7
Inv82,P8732,S623,78
Inv83,P6433,S633,32
Inv84,P3683,S313,58
Inv85,P2782,S595,12
Inv86,P8650,S860,3
Inv87,P6725,S314,25
Inv88,P5213,S876,88
Inv89,P2230,S680,35
Inv90,P4880,S451,94
Inv91,P1832,S312,15
Inv92,P3571,S710,15
Inv93,P1805,S830,72
Inv94,P2678,S277,83
Inv95,P8646,S930,65
Inv96,P5602,S904,84
Inv97,P3591,S244,29
Inv98,P8189,S184,48
Inv99,P8662,S381,14
Inv100,P5197,S273,4
Inv101,P8584,S327,71
Inv102,P6511,S581,35
Inv103,P5907,S906,83
Inv104,P6784,S190,48
Inv105,P3369,S414,16
Inv106,P5739,S862,98
Inv107,P2005,S216,72
Inv108,P7705,S333,80
Inv109,P3072,S682,79
Inv110,P3622,S263,10
Inv111,P3331,S867,50
Inv112,P9883,S296,37
Inv113,P5848,S7,10
Inv114,P1919,S507,74
Inv115,P5650,S137,3
Inv116,P9726,S94,72
Inv117,P5631,S207,10
Inv118,P3865,S483,2
Inv119,P4274,S602,7
Inv120,P7019,S14,97
Inv121,P8302,S41,91
Inv122,P3772,S574,6
Inv123,P6190,S549,78
Inv124,P1002,S746,62
Inv125,P3647,S490,73
Inv126,P7879,S636,64
Inv127,P8560,S901,93
Inv128,P5335,S910,65
Inv129,P6349,S29,89
Inv130,P3275,S338,92
Inv131,P9658,S871,44
Inv132,P8076,S265,61
Inv133,P9248,S464,77
Inv134,P1378,S941,7
Inv135,P5712,S587,76
Inv136,P4339,S466,99
Inv137,P7231,S777,84
Inv138,P1613,S677,28
Inv139,P6195,S398,90
Inv140,P1042,S81,18
Inv141,P8190,S103,44
Inv142,P2682,S26,85
Inv143,P4414,S627,34
Inv144,P2941,S809,68
Inv145,P7970,S774,21
Inv146,P5903,S624,41
Inv147,P1883,S4,2
Inv148,P5115,S218,11
Inv149,P6730,S44,8
Inv150,P9611,S169,36
Inv151,P8631,S913,72
Inv152,P7311,S989,92
Inv153,P6929,S170,96
Inv154,P5392,S720,51
Inv155,P1813,S247,96
Inv156,P2663,S265,63
Inv157,P1243,S589,2
Inv158,P2670,S888,99
Inv159,P3555,S537,59
Inv160,P5117,S414,35
Inv161,P6745,S739,58
Inv162,P2077,S229,25
Inv163,P3253,S880,95
Inv164,P8487,S215,28
Inv165,P3081,S259,48
Inv166,P4976,S578,30
Inv167,P7500,S234,23
Inv168,P6004,S184,67
Inv169,P8496,S963,67
Inv170,P9110,S751,87
Inv171,P5246,S904,79
Inv172,P5342,S238,96
Inv173,P3261,S919,15
Inv174,P1858,S429,51
Inv175,P1983,S847,30
Inv176,P8670,S129,51
Inv177,P5559,S17,77
Inv178,P5158,S307,59
Inv179,P4111,S627,70
Inv180,P4864,S211,2
Inv181,P9133,S140,73
Inv182,P9466,S227,23
Inv183,P8220,S553,84
Inv184,P2969,S767,38
Inv185,P2794,S315,77
Inv186,P5040,S658,69
Inv187,P7153,S413,43
Inv188,P5547,S214,73
Inv189,P3085,S319,63
Inv190,P7718,S32,19
Inv191,P2762,S836,70
Inv192,P8596,S401,0
Inv193,P4447,S374,58
Inv194,P5322,S506,10
Inv195,P4012,S61,93
Inv196,P6572,S131,83
Inv197,P5266,S357,74
Inv198,P3641,S515,26
Inv199,P6296,S371,95
Inv200,P1965,S668,70
Inv201,P9529,S791,26
Inv202,P4646,S465,60
Inv203,P4577,S162,82
Inv204,P4061,S184,8
Inv205,P7457,S207,99
Inv206,P3825,S283,27
Inv207,P3958,S38,61
Inv208,P4074,S488,73
Inv209,P9607,S810,6
Inv210,P8381,S850,45
Inv211,P1114,S237,34
Inv212,P4228,S145,13
Inv213,P7558,S669,13
Inv214,P6195,S182,97
Inv215,P7645,S127,36
Inv216,P1330,S953,72
Inv217,P3911,S356,81
Inv218,P4118,S440,3
Inv219,P6789,S180,66
Inv220,P6231,S877,55
Inv221,P4510,S731,74
Inv222,P3821,S472,42
Inv223,P6393,S103,18
Inv224,P6662,S816,49
Inv225,P5965,S703,24
Inv226,P2023,S574,74
Inv227,P1979,S767,94
Inv228,P5112,S394,37
Inv229,P9200,S668,71
Inv230,P1686,S623,79
Inv231,P9805,S416,100
Inv232,P7403,S981,52
Inv233,P8282,S401,68
Inv234,P4889,S865,80
Inv235,P2420,S520,55
Inv236,P6079,S290,51
Inv237,P5717,S514,55
Inv238,P1940,S953,36
Inv239,P7982,S419,85
Inv240,P7414,S481,9
Inv241,P5783,S17,92
Inv242,P7535,S606,39
Inv243,P2275,S57,19
Inv244,P1748,S346,90
Inv245,P4526,S403,40
Inv246,P9621,S231,30
Inv247,P3963,S134,65
Inv248,P3672,S922,71
Inv249,P5067,S978,69
Inv250,P1280,S129,34
Inv251,P5708,S584,63
Inv252,P8489,S108,7
Inv253,P1870,S306,88
Inv254,P6137,S679,51
Inv255,P6516,S541,82
Inv256,P5527,S458,77
Inv257,P7918,S479,87
Inv258,P7325,S615,43
Inv259,P5160,S250,3
Inv260,P4038,S126,76
Inv261,P2612,S793,21
Inv262,P3255,S946,5
Inv263,P7111,S862,76
Inv264,P7314,S925,85
Inv265,P1273,S207,93
Inv266,P3086,S665,33
Inv267,P7631,S133,60
Inv268,P3471,S824,18
Inv269,P1410,S517,79
Inv270,P4112,S804,28
Inv271,P7386,S187,51
Inv272,P2130,S894,51
Inv273,P9247,S809,70
Inv274,P8622,S868,90
Inv275,P9812,S767,46
Inv276,P3704,S899,50
Inv277,P1967,S306,9
Inv278,P9138,S607,92
Inv279,P7214,S5,21
Inv280,P6454,S33,54
Inv281,P4740,S537,54
Inv282,P9637,S716,11
Inv283,P9089,S302,46
Inv284,P1314,S560,13
Inv285,P3059,S172,33
Inv286,P8962,S184,94
Inv287,P6973,S503,93
Inv288,P3531,S202,42
Inv289,P7654,S143,52
Inv290,P3157,S241,26
Inv291,P9716,S107,98
Inv292,P3815,S59,89
Inv293,P7196,S785,26
Inv294,P3267,S368,98
Inv295,P2983,S681,22
Inv296,P4803,S696,63
Inv297,P8144,S320,54
Inv298,P7228,S653,77
Inv299,P8239,S130,35
Inv300,P8574,S878,23
Inv301,P4021,S442,24
Inv302,P1844,S611,34
Inv303,P1400,S624,96
Inv304,P7160,S866,73
Inv305,P8779,S226,8
Inv306,P6492,S864,82
Inv307,P1768,S709,11
Inv308,P8973,S508,54
Inv309,P8088,S671,39
Inv310,P5133,S890,96
Inv311,P7629,S716,71
Inv312,P5751,S33,37
Inv313,P7383,S526,33
Inv314,P8819,S903,8
Inv315,P7804,S448,11
Inv316,P4036,S224,73
Inv317,P3381,S86,80
Inv318,P9759,S356,7
Inv319,P7958,S90,49
Inv320,P2011,S203,11
Inv321,P5960,S457,10
Inv322,P9725,S296,24
Inv323,P6623,S338,75
Inv324,P4243,S264,42
Inv325,P9421,S888,46
Inv326,P9524,S912,6
Inv327,P4779,S107,70
Inv328,P9316,S165,15
Inv329,P5480,S56,58
Inv330,P2360,S739,97
Inv331,P6265,S259,95
Inv332,P1344,S273,44
Inv333,P5413,S595,13
Inv334,P7809,S588,43
Inv335,P5304,S374,19
Inv336,P8520,S596,75
Inv337,P4597,S429,62
Inv338,P6542,S117,2
Inv339,P3130,S167,41
Inv340,P9824,S444,81
Inv341,P6739,S908,42
Inv342,P5196,S233,58
Inv343,P8917,S200,23
Inv344,P6286,S103,11
Inv345,P5834,S964,99
Inv346,P4053,S990,62
Inv347,P8094,S481,62
Inv348,P7460,S835,93
