order_id,seller_id,order_date,total_amount
Or1,S887,2022-10-02,159.21
Or2,S136,2023-08-11,394.77
Or3,S319,2023-06-30,329.28
Or4,S980,2025-04-26,359.96
Or5,S333,2024-06-24,274.56
Or6,S785,2020-09-05,56.53
Or7,S82,2022-03-18,65.75
Or8,S164,2024-12-28,358.01
Or9,S634,2023-03-26,298.38
Or10,S589,2024-04-02,371.49
Or11,S183,2021-12-20,103.89
Or12,S823,2024-05-19,378.86
Or13,S872,2020-08-26,207.4
Or14,S398,2022-02-14,256.77
Or15,S299,2024-09-20,421.1
Or16,S2,2022-06-04,120.05
Or17,S921,2020-10-22,130.76
Or18,S185,2023-08-27,478.91
Or19,S584,2022-02-16,352.6
Or20,S819,2022-12-11,477.96
Or21,S198,2022-08-15,188.64
Or22,S898,2024-06-11,217.96
Or23,S869,2021-08-07,149.27
Or24,S388,2022-06-28,429.88
Or25,S607,2023-09-08,197.25
Or26,S675,2021-03-11,427.53
Or27,S530,2023-06-18,376.87
Or28,S458,2025-03-27,457.68
Or29,S588,2024-07-07,352.92
Or30,S252,2023-06-30,450.05
Or31,S397,2021-03-07,244.05
Or32,S987,2021-12-31,220.64
Or33,S584,2024-05-04,311.85
Or34,S458,2024-01-23,279.52
Or35,S967,2024-08-28,193.14
Or36,S539,2022-08-22,111.31
Or37,S274,2023-02-16,464.64
Or38,S232,2022-10-30,468.68
Or39,S939,2020-06-23,114.52
Or40,S126,2021-07-20,498.24
Or41,S93,2023-07-06,178.6
Or42,S601,2021-12-27,253.35
Or43,S512,2022-04-26,423.15
Or44,S53,2024-05-16,218.12
Or45,S777,2022-04-14,195.61
Or46,S875,2023-11-30,143.67
Or47,S369,2025-03-23,185.73
Or48,S430,2021-08-04,27.2
Or49,S180,2022-06-12,331.85
Or50,S794,2022-12-23,291.74
Or51,S190,2020-09-17,393.12
Or52,S106,2022-08-15,327.5
Or53,S845,2022-10-02,329.44
Or54,S311,2025-02-26,157.58
Or55,S51,2020-12-12,50.01
Or56,S348,2021-02-13,424.2
Or57,S666,2021-10-02,44.75
Or58,S418,2024-08-15,330.58
Or59,S487,2021-06-26,268.76
Or60,S516,2023-11-20,161.24
Or61,S221,2021-06-13,116.6
Or62,S491,2023-11-03,318.66
Or63,S86,2022-09-28,258.85
Or64,S197,2024-04-20,409.97
Or65,S342,2025-02-17,174.84
Or66,S307,2021-04-10,262.96
Or67,S558,2020-09-03,448.43
Or68,S940,2022-11-02,361.73
Or69,S594,2022-06-08,404.51
Or70,S837,2023-07-29,429.86
Or71,S645,2021-05-13,463.82
Or72,S138,2022-09-28,448.23
Or73,S987,2021-04-22,143.14
Or74,S314,2021-08-05,14.29
Or75,S94,2025-04-07,122.06
Or76,S229,2021-11-11,468.24
Or77,S949,2024-05-04,164.82
Or78,S876,2024-09-09,357.27
Or79,S501,2022-06-27,88.04
Or80,S300,2021-02-19,437.78
Or81,S981,2020-07-03,308.02
Or82,S947,2023-09-30,46.07
Or83,S973,2021-08-31,15.91
Or84,S246,2020-09-18,489.63
Or85,S513,2024-01-19,312.1
Or86,S292,2022-03-25,53.08
Or87,S282,2025-02-06,376.6
Or88,S194,2021-09-06,371.36
Or89,S980,2024-03-26,69.14
Or90,S504,2022-07-19,213.61
Or91,S181,2021-08-17,91.95
Or92,S408,2020-08-14,312.68
Or93,S296,2024-06-04,436.9
Or94,S50,2024-10-30,406.79
Or95,S444,2024-01-27,135.83
Or96,S468,2021-02-01,411.35
Or97,S704,2024-11-22,237.24
Or98,S255,2022-03-18,53.45
Or99,S610,2023-04-22,218.35
Or100,S323,2024-06-23,324.25
Or101,S232,2024-08-04,326.29
Or102,S140,2022-10-21,309.12
Or103,S821,2023-10-18,326.62
Or104,S889,2021-12-22,44.81
Or105,S496,2023-01-09,462.11
Or106,S224,2023-05-05,198.29
Or107,S87,2021-10-31,281.45
Or108,S554,2021-02-13,357.99
Or109,S614,2024-05-05,485.53
Or110,S236,2022-02-02,23.61
Or111,S331,2024-09-29,127.07
Or112,S9,2022-01-08,323.21
Or113,S169,2023-10-05,293.94
Or114,S306,2022-04-18,363.1
Or115,S359,2024-08-15,459.24
Or116,S854,2022-04-12,381.84
Or117,S261,2024-05-15,480.42
Or118,S442,2020-08-14,417.8
Or119,S875,2021-06-07,298.72
Or120,S306,2021-02-03,466.44
Or121,S772,2023-06-02,393.99
Or122,S590,2022-11-02,438.65
Or123,S794,2024-04-07,109.26
Or124,S297,2021-11-19,320.43
Or125,S786,2020-07-09,77.75
Or126,S492,2021-12-01,214.92
Or127,S7,2022-01-20,434.17
Or128,S527,2025-02-15,21.17
Or129,S302,2021-10-07,366.19
Or130,S618,2020-07-23,325.74
Or131,S644,2022-02-19,407.22
Or132,S610,2021-09-11,133.14
Or133,S718,2023-06-27,277.42
Or134,S909,2020-10-07,289.48
Or135,S450,2022-03-19,386.55
Or136,S970,2023-04-10,201.27
Or137,S507,2022-04-06,66.19
Or138,S975,2023-02-05,221.76
Or139,S1000,2022-02-16,291.07
Or140,S562,2024-08-27,153.3
Or141,S72,2022-07-01,463.05
Or142,S238,2021-01-10,145.3
Or143,S528,2024-08-24,106.15
Or144,S104,2023-01-22,337.56
Or145,S321,2025-01-24,131.77
Or146,S559,2022-04-27,479.13
Or147,S682,2022-12-29,459.38
Or148,S286,2021-02-15,54.68
Or149,S817,2021-11-27,381.93
Or150,S811,2022-01-23,256.51
Or151,S411,2021-02-13,280.99
Or152,S356,2024-12-15,271.19
Or153,S194,2022-05-05,313.33
Or154,S132,2021-12-07,251.79
Or155,S279,2023-03-15,193.62
Or156,S167,2023-11-19,171.51
Or157,S348,2024-07-27,248.23
Or158,S625,2024-12-02,494.77
Or159,S569,2022-10-21,20.42
Or160,S936,2023-06-16,133.74
Or161,S560,2020-11-29,97.94
Or162,S565,2023-04-11,281.58
Or163,S888,2020-10-29,60.75
Or164,S107,2023-04-23,284.83
Or165,S649,2025-04-05,98.28
Or166,S998,2021-02-03,203.59
Or167,S983,2020-08-08,267.92
